index,id,lat,lon
204,U3RvcDoxOmRlOjExMDAwOjkwMDAyNjEwMTo6MQ,52.516281,13.259258
205,U3RvcDoxOmRlOjExMDAwOjkwMDAyNjEwMTo6Mg,52.516200,13.259241
206,U3RvcDoxOmRlOjExMDAwOjkwMDAyNjEwNToxOjUw,52.507814,13.259813
207,U3RvcDoxOmRlOjExMDAwOjkwMDAyNjIwMTo6MQ,52.509920,13.272617
208,U3RvcDoxOmRlOjExMDAwOjkwMDAyNjIwMTo6Mg,52.509866,13.272588
209,U3RvcDoxOmRlOjExMDAwOjkwMDAyNjIwMjo6MQ,52.510113,13.283103
210,U3RvcDoxOmRlOjExMDAwOjkwMDAyNjIwMjo6Mg,52.510059,13.283103
211,U3RvcDoxOmRlOjExMDAwOjkwMDAyNjIwNzoxOjUw,52.517888,13.284378
212,U3RvcDoxOmRlOjExMDAwOjkwMDAyNjIwNzoxOjUx,52.517906,13.284555
213,U3RvcDoxOmRlOjExMDAwOjkwMDAyOTEwMToxOjUw,52.534774,13.197557
214,U3RvcDoxOmRlOjExMDAwOjkwMDAyOTEwMToxOjUx,52.534720,13.197532
215,U3RvcDoxOmRlOjExMDAwOjkwMDAyOTEwMToyOjUy,52.534667,13.197191
216,U3RvcDoxOmRlOjExMDAwOjkwMDAyOTEwMToyOjUz,52.534600,13.197163
217,U3RvcDoxOmRlOjExMDAwOjkwMDAyOTEwMTozOjU0,52.534541,13.197124
218,U3RvcDoxOmRlOjExMDAwOjkwMDAyOTEwMTozOjU1,52.534484,13.197100
219,U3RvcDoxOmRlOjExMDAwOjkwMDAyOTMwMTo6MQ,52.538755,13.206326
220,U3RvcDoxOmRlOjExMDAwOjkwMDAyOTMwMTo6Mg,52.538890,13.206436
221,U3RvcDoxOmRlOjExMDAwOjkwMDAyOTMwMjo6MQ,52.535176,13.199857
222,U3RvcDoxOmRlOjExMDAwOjkwMDAyOTMwMjo6Mg,52.535188,13.199712
223,U3RvcDoxOmRlOjExMDAwOjkwMDAyOTMwNToxOjUw,52.537659,13.141303
224,U3RvcDoxOmRlOjExMDAwOjkwMDAyOTMwNToxOjUx,52.537758,13.141315
225,U3RvcDoxOmRlOjExMDAwOjkwMDAzMDIwMjoxOjUw,52.531988,13.209206
226,U3RvcDoxOmRlOjExMDAwOjkwMDAzMzEwMTo6MQ,52.537627,13.217515
227,U3RvcDoxOmRlOjExMDAwOjkwMDAzMzEwMTo6Mg,52.537676,13.217555
228,U3RvcDoxOmRlOjExMDAwOjkwMDAzNDEwMTo6MQ,52.537931,13.247534
229,U3RvcDoxOmRlOjExMDAwOjkwMDAzNDEwMTo6Mg,52.538058,13.247559
230,U3RvcDoxOmRlOjExMDAwOjkwMDAzNDEwMjo6MQ,52.538635,13.233127
231,U3RvcDoxOmRlOjExMDAwOjkwMDAzNDEwMjo6Mg,52.538793,13.233056
232,U3RvcDoxOmRlOjExMDAwOjkwMDAzNTEwMTo6MQ,52.536699,13.272710
233,U3RvcDoxOmRlOjExMDAwOjkwMDAzNTEwMTo6Mg,52.536811,13.272694
234,U3RvcDoxOmRlOjExMDAwOjkwMDAzNjEwMTo6MQ,52.536926,13.262347
235,U3RvcDoxOmRlOjExMDAwOjkwMDAzNjEwMTo6Mg,52.537050,13.262367
236,U3RvcDoxOmRlOjExMDAwOjkwMDA0MDEwMToxOjUw,52.496038,13.290596
237,U3RvcDoxOmRlOjExMDAwOjkwMDA0MTEwMTo6MQ,52.490681,13.315228
238,U3RvcDoxOmRlOjExMDAwOjkwMDA0MTEwMTo6Mg,52.490597,13.315394
239,U3RvcDoxOmRlOjExMDAwOjkwMDA0MTEwMTo6Mw,52.490391,13.314185
240,U3RvcDoxOmRlOjExMDAwOjkwMDA0MTEwMTo6NA,52.490489,13.314375
241,U3RvcDoxOmRlOjExMDAwOjkwMDA0MTEwMjo6MQ,52.486328,13.321920
242,U3RvcDoxOmRlOjExMDAwOjkwMDA0MTEwMjo6Mg,52.486454,13.321942
243,U3RvcDoxOmRlOjExMDAwOjkwMDA0MTIwMTo6MQ,52.494524,13.309008
244,U3RvcDoxOmRlOjExMDAwOjkwMDA0MTIwMTo6Mg,52.494580,13.309153
245,U3RvcDoxOmRlOjExMDAwOjkwMDA0MjEwMTo6MQ,52.496901,13.331995
246,U3RvcDoxOmRlOjExMDAwOjkwMDA0MjEwMTo6Mg,52.496860,13.332072
247,U3RvcDoxOmRlOjExMDAwOjkwMDA0MjEwMTo6Mw,52.497354,13.330719
248,U3RvcDoxOmRlOjExMDAwOjkwMDA0MjEwMTo6NA,52.497354,13.330868
249,U3RvcDoxOmRlOjExMDAwOjkwMDA0MzEwMTo6MQ,52.494188,13.324858
250,U3RvcDoxOmRlOjExMDAwOjkwMDA0MzEwMTo6Mg,52.494095,13.324950
251,U3RvcDoxOmRlOjExMDAwOjkwMDA0MzIwMTo6MQ,52.492049,13.330903
252,U3RvcDoxOmRlOjExMDAwOjkwMDA0MzIwMTo6Mg,52.492048,13.331101
253,U3RvcDoxOmRlOjExMDAwOjkwMDA0NDEwMToxOjUw,52.488671,13.300271
254,U3RvcDoxOmRlOjExMDAwOjkwMDA0NDIwMTo6MQ,52.487265,13.330998
255,U3RvcDoxOmRlOjExMDAwOjkwMDA0NDIwMTo6Mg,52.487349,13.330967
256,U3RvcDoxOmRlOjExMDAwOjkwMDA0NDIwMTo6Mw,52.487295,13.330798
257,U3RvcDoxOmRlOjExMDAwOjkwMDA0NDIwMTo6NA,52.487326,13.331167
258,U3RvcDoxOmRlOjExMDAwOjkwMDA0NDIwMjoxOjUw,52.477687,13.329539
259,U3RvcDoxOmRlOjExMDAwOjkwMDA0NDIwMjoxOjUx,52.477611,13.329544
260,U3RvcDoxOmRlOjExMDAwOjkwMDA0NDIwMjo6MQ,52.477904,13.328481
261,U3RvcDoxOmRlOjExMDAwOjkwMDA0NDIwMjo6Mg,52.477908,13.328613
262,U3RvcDoxOmRlOjExMDAwOjkwMDA0NTEwMTo6MQ,52.473373,13.314366
263,U3RvcDoxOmRlOjExMDAwOjkwMDA0NTEwMTo6Mg,52.473372,13.314500
264,U3RvcDoxOmRlOjExMDAwOjkwMDA0NTEwMjoxOjUw,52.480059,13.311856
265,U3RvcDoxOmRlOjExMDAwOjkwMDA0NTEwMjoxOjUx,52.480026,13.311782
266,U3RvcDoxOmRlOjExMDAwOjkwMDA0NTEwMjo6MQ,52.480250,13.313117
267,U3RvcDoxOmRlOjExMDAwOjkwMDA0NTEwMjo6Mg,52.480227,13.313224
268,U3RvcDoxOmRlOjExMDAwOjkwMDA0ODEwMToxOjUw,52.488370,13.260926
269,U3RvcDoxOmRlOjExMDAwOjkwMDA0ODEwMToxOjUx,52.488309,13.261033
270,U3RvcDoxOmRlOjExMDAwOjkwMDA0ODEwMToyOjUy,52.488258,13.261105
271,U3RvcDoxOmRlOjExMDAwOjkwMDA0ODEwMToyOjUz,52.488179,13.261234
272,U3RvcDoxOmRlOjExMDAwOjkwMDA0OTIwMToxOjUw,52.430997,13.258035
